User_ID,Timestamp,Action
User_148,2024-03-08 06:33:46.024594,Add_to_Cart
User_261,2024-03-08 12:56:46.025594,Purchase
User_146,2024-03-07 20:00:46.025594,Add_to_Cart
User_675,2024-03-07 23:47:46.025594,Add_to_Cart
User_555,2024-03-07 23:36:46.025594,Login
User_396,2024-03-07 16:55:46.025594,Browse
User_12,2024-03-08 03:05:46.025594,Login
User_85,2024-03-07 17:21:46.025594,Browse
User_72,2024-03-07 19:05:46.025594,Add_to_Cart
User_433,2024-03-08 03:47:46.025594,Browse
User_424,2024-03-08 05:36:46.025594,Add_to_Cart
User_354,2024-03-08 10:00:46.025594,Purchase
User_535,2024-03-07 16:27:46.025594,Add_to_Cart
User_678,2024-03-08 06:18:46.025594,Login
User_108,2024-03-07 13:53:46.025594,Login
User_998,2024-03-08 07:12:46.025594,Add_to_Cart
User_460,2024-03-08 04:14:46.025594,Login
User_494,2024-03-07 20:28:46.025594,Purchase
User_602,2024-03-08 03:21:46.025594,Purchase
User_917,2024-03-07 15:14:46.025594,Add_to_Cart
User_561,2024-03-08 10:23:46.025594,Login
User_588,2024-03-07 15:19:46.025594,Add_to_Cart
User_914,2024-03-08 11:51:46.025594,Purchase
User_777,2024-03-08 13:25:46.025594,Browse
User_548,2024-03-07 15:43:46.025594,Purchase
User_620,2024-03-08 12:48:46.025594,Login
User_772,2024-03-08 06:16:46.025594,Browse
User_671,2024-03-07 22:01:46.025594,Login
User_628,2024-03-07 18:28:46.025594,Login
User_398,2024-03-08 03:56:46.026594,Login
User_47,2024-03-08 03:11:46.026594,Browse
User_655,2024-03-08 04:57:46.026594,Add_to_Cart
User_614,2024-03-08 07:45:46.026594,Add_to_Cart
User_970,2024-03-08 01:49:46.026594,Login
User_229,2024-03-07 15:07:46.026594,Browse
User_744,2024-03-08 13:07:46.026594,Browse
User_484,2024-03-08 03:50:46.026594,Browse
User_735,2024-03-08 05:56:46.026594,Browse
User_148,2024-03-08 07:56:46.026594,Purchase
User_579,2024-03-08 07:04:46.026594,Browse
User_257,2024-03-07 16:10:46.026594,Purchase
User_110,2024-03-08 05:51:46.026594,Add_to_Cart
User_124,2024-03-08 12:06:46.026594,Add_to_Cart
User_686,2024-03-07 22:16:46.026594,Browse
User_277,2024-03-08 06:16:46.026594,Browse
User_229,2024-03-08 06:09:46.026594,Browse
User_500,2024-03-07 20:32:46.026594,Add_to_Cart
User_206,2024-03-08 03:54:46.026594,Browse
User_272,2024-03-07 17:38:46.026594,Add_to_Cart
User_970,2024-03-07 15:37:46.026594,Login
User_112,2024-03-08 12:40:46.026594,Login
User_771,2024-03-07 22:34:46.026594,Browse
User_129,2024-03-07 23:25:46.026594,Add_to_Cart
User_13,2024-03-08 09:46:46.026594,Add_to_Cart
User_837,2024-03-08 08:01:46.026594,Purchase
User_546,2024-03-07 22:15:46.026594,Add_to_Cart
User_696,2024-03-08 06:28:46.026594,Purchase
User_484,2024-03-08 07:40:46.026594,Add_to_Cart
User_399,2024-03-08 08:27:46.026594,Add_to_Cart
User_537,2024-03-08 07:27:46.026594,Login
User_586,2024-03-07 18:08:46.027594,Purchase
User_440,2024-03-08 11:21:46.027594,Browse
User_387,2024-03-07 17:50:46.027594,Login
User_82,2024-03-08 01:57:46.027594,Login
User_912,2024-03-07 16:22:46.027594,Purchase
User_477,2024-03-07 18:22:46.027594,Purchase
User_104,2024-03-07 15:23:46.027594,Add_to_Cart
User_634,2024-03-07 22:04:46.027594,Login
User_243,2024-03-07 19:55:46.027594,Add_to_Cart
User_503,2024-03-07 23:51:46.027594,Browse
User_699,2024-03-08 03:59:46.027594,Login
User_266,2024-03-07 19:07:46.027594,Browse
User_158,2024-03-08 12:29:46.027594,Browse
User_215,2024-03-07 14:31:46.027594,Login
User_268,2024-03-08 02:50:46.027594,Login
User_871,2024-03-08 03:50:46.027594,Add_to_Cart
User_92,2024-03-08 13:14:46.027594,Purchase
User_127,2024-03-08 07:54:46.027594,Purchase
User_832,2024-03-07 23:09:46.027594,Purchase
User_834,2024-03-07 20:24:46.027594,Add_to_Cart
User_645,2024-03-08 10:11:46.027594,Add_to_Cart
User_529,2024-03-07 21:11:46.028595,Add_to_Cart
User_116,2024-03-08 01:35:46.028595,Purchase
User_355,2024-03-07 14:31:46.028595,Login
User_52,2024-03-07 23:37:46.028595,Browse
User_259,2024-03-07 21:22:46.028595,Purchase
User_24,2024-03-07 16:03:46.028595,Add_to_Cart
User_466,2024-03-08 11:50:46.028595,Add_to_Cart
User_531,2024-03-07 16:27:46.028595,Browse
User_225,2024-03-08 12:55:46.028595,Add_to_Cart
User_465,2024-03-07 19:44:46.028595,Add_to_Cart
User_430,2024-03-07 15:14:46.028595,Browse
User_645,2024-03-07 22:58:46.028595,Purchase
User_801,2024-03-08 09:50:46.028595,Login
User_0,2024-03-08 02:09:46.028595,Browse
User_234,2024-03-08 07:35:46.028595,Browse
User_576,2024-03-08 08:43:46.028595,Add_to_Cart
User_745,2024-03-08 11:17:46.028595,Login
User_644,2024-03-07 19:31:46.028595,Add_to_Cart
User_563,2024-03-07 20:21:46.028595,Add_to_Cart
User_209,2024-03-07 15:50:46.028595,Browse
User_559,2024-03-07 14:09:46.028595,Login
User_115,2024-03-08 11:59:46.028595,Browse
User_33,2024-03-07 16:05:46.028595,Login
User_66,2024-03-08 05:21:46.028595,Browse
User_957,2024-03-08 02:08:46.028595,Login
User_469,2024-03-07 22:12:46.029597,Browse
User_924,2024-03-08 01:48:46.029597,Add_to_Cart
User_901,2024-03-07 20:20:46.029597,Add_to_Cart
User_909,2024-03-07 19:45:46.029597,Purchase
User_198,2024-03-07 15:21:46.029597,Add_to_Cart
User_105,2024-03-07 22:56:46.029597,Purchase
User_475,2024-03-08 07:56:46.029597,Browse
User_345,2024-03-07 18:11:46.029597,Browse
User_490,2024-03-07 22:44:46.029597,Add_to_Cart
User_851,2024-03-07 21:03:46.029597,Add_to_Cart
User_749,2024-03-07 22:23:46.029597,Add_to_Cart
User_728,2024-03-08 00:54:46.029597,Login
User_857,2024-03-07 19:54:46.029597,Browse
User_675,2024-03-08 11:09:46.029597,Purchase
User_227,2024-03-08 09:30:46.029597,Browse
User_463,2024-03-08 00:36:46.029597,Browse
User_813,2024-03-08 11:05:46.029597,Purchase
User_483,2024-03-08 12:21:46.029597,Browse
User_371,2024-03-08 02:50:46.029597,Add_to_Cart
User_581,2024-03-08 07:02:46.029597,Login
User_655,2024-03-08 06:29:46.029597,Add_to_Cart
User_113,2024-03-08 04:04:46.029597,Login
User_151,2024-03-08 02:09:46.029597,Browse
User_322,2024-03-07 15:06:46.029597,Browse
User_365,2024-03-08 12:09:46.030598,Login
User_373,2024-03-08 05:22:46.030598,Add_to_Cart
User_758,2024-03-08 00:09:46.030598,Browse
User_553,2024-03-08 13:24:46.030598,Purchase
User_361,2024-03-08 04:22:46.030598,Purchase
User_267,2024-03-08 07:51:46.030598,Add_to_Cart
User_425,2024-03-07 16:25:46.030598,Login
User_23,2024-03-08 06:17:46.030598,Login
User_62,2024-03-08 13:26:46.030598,Browse
User_534,2024-03-08 04:12:46.030598,Login
User_749,2024-03-08 08:57:46.030598,Browse
User_879,2024-03-08 02:46:46.030598,Browse
User_237,2024-03-08 05:21:46.030598,Browse
User_356,2024-03-08 01:37:46.030598,Add_to_Cart
User_237,2024-03-08 08:17:46.030598,Purchase
