User_ID,Timestamp,Product,Amount
User_346,2023-07-28 16:22:30.386194,Product_61,270
User_498,2024-02-21 16:22:30.386194,Product_26,50
User_411,2023-08-28 16:22:30.386194,Product_85,889
User_238,2023-03-30 16:22:30.386194,Product_37,149
User_507,2023-06-25 16:22:30.386194,Product_71,497
User_519,2023-03-24 16:22:30.386194,Product_41,475
User_554,2023-12-22 16:22:30.386194,Product_89,621
User_387,2024-01-08 16:22:30.387169,Product_33,908
User_685,2024-02-29 16:22:30.387169,Product_11,954
User_778,2023-08-16 16:22:30.387169,Product_34,284
User_353,2023-09-11 16:22:30.387169,Product_53,705
User_488,2023-04-21 16:22:30.387169,Product_47,637
User_244,2024-03-06 16:22:30.387169,Product_79,69
User_616,2023-07-22 16:22:30.387169,Product_22,838
User_821,2023-06-11 16:22:30.387169,Product_31,588
User_112,2024-01-30 16:22:30.387169,Product_27,205
User_88,2023-10-03 16:22:30.387169,Product_54,209
User_723,2023-12-14 16:22:30.387169,Product_28,547
User_636,2023-03-31 16:22:30.387169,Product_70,18
User_160,2024-03-02 16:22:30.388199,Product_61,673
User_49,2023-07-06 16:22:30.388199,Product_43,374
User_832,2024-02-07 16:22:30.388199,Product_38,834
User_892,2024-01-22 16:22:30.388199,Product_85,798
User_11,2024-01-27 16:22:30.388199,Product_84,961
User_546,2023-09-19 16:22:30.388199,Product_41,954
User_788,2023-04-12 16:22:30.388199,Product_4,595
User_664,2023-12-06 16:22:30.388199,Product_23,457
User_19,2023-08-05 16:22:30.388199,Product_57,332
User_198,2024-03-04 16:22:30.388199,Product_42,601
User_185,2023-03-21 16:22:30.388199,Product_76,223
User_15,2023-03-16 16:22:30.388199,Product_56,262
User_549,2023-06-17 16:22:30.388199,Product_36,946
User_913,2024-03-07 16:22:30.388199,Product_48,617
User_78,2023-04-28 16:22:30.388199,Product_52,773
User_797,2023-12-15 16:22:30.389196,Product_28,144
User_708,2023-06-14 16:22:30.389196,Product_58,686
User_215,2023-08-24 16:22:30.389196,Product_10,124
User_874,2024-02-21 16:22:30.389196,Product_66,456
User_850,2024-01-25 16:22:30.389196,Product_20,795
User_26,2023-05-11 16:22:30.389196,Product_94,877
User_97,2023-03-13 16:22:30.389196,Product_90,735
User_349,2024-01-05 16:22:30.389196,Product_93,665
User_975,2023-07-20 16:22:30.389196,Product_17,744
User_175,2024-02-26 16:22:30.389196,Product_83,270
User_714,2023-12-25 16:22:30.389196,Product_25,464
User_249,2023-07-07 16:22:30.389196,Product_22,872
User_166,2023-10-05 16:22:30.389196,Product_66,958
User_187,2023-10-11 16:22:30.389196,Product_78,333
User_128,2023-03-28 16:22:30.390181,Product_12,924
User_243,2023-07-19 16:22:30.390181,Product_86,565
User_78,2023-04-19 16:22:30.390181,Product_40,169
User_215,2023-12-10 16:22:30.390181,Product_50,432
User_315,2023-09-04 16:22:30.390181,Product_26,349
User_867,2023-05-22 16:22:30.390181,Product_5,948
User_713,2023-07-17 16:22:30.390181,Product_83,248
User_769,2023-12-16 16:22:30.390181,Product_55,301
User_13,2023-10-16 16:22:30.390181,Product_61,869
User_698,2024-02-25 16:22:30.390181,Product_66,240
User_374,2023-04-02 16:22:30.390181,Product_33,742
User_989,2023-11-04 16:22:30.390181,Product_92,293
User_260,2023-11-15 16:22:30.391159,Product_48,315
User_904,2024-02-15 16:22:30.391159,Product_12,660
User_745,2024-01-03 16:22:30.391159,Product_85,372
User_960,2023-03-22 16:22:30.391159,Product_46,723
User_948,2023-06-14 16:22:30.391159,Product_55,220
User_965,2023-05-07 16:22:30.391159,Product_50,26
User_68,2024-02-06 16:22:30.391159,Product_20,311
User_472,2023-05-10 16:22:30.391159,Product_71,23
User_884,2023-04-19 16:22:30.391159,Product_61,350
User_23,2023-06-21 16:22:30.391159,Product_70,184
User_429,2023-12-27 16:22:30.391159,Product_23,217
User_692,2023-09-14 16:22:30.391159,Product_93,347
User_666,2024-01-22 16:22:30.392169,Product_94,692
User_340,2023-10-17 16:22:30.392169,Product_25,269
User_713,2023-12-18 16:22:30.392169,Product_87,941
User_415,2023-10-08 16:22:30.392169,Product_47,496
User_396,2023-10-30 16:22:30.392169,Product_27,212
User_430,2023-10-15 16:22:30.392169,Product_49,985
User_677,2023-11-19 16:22:30.392169,Product_20,574
User_547,2023-08-02 16:22:30.392169,Product_99,173
User_19,2024-02-21 16:22:30.392169,Product_83,535
User_555,2023-10-01 16:22:30.392169,Product_73,107
User_825,2023-04-07 16:22:30.392169,Product_10,51
User_627,2023-11-26 16:22:30.393173,Product_41,699
User_805,2023-05-21 16:22:30.393173,Product_88,749
User_176,2024-02-02 16:22:30.393173,Product_74,215
User_251,2023-04-08 16:22:30.393173,Product_90,373
User_592,2023-05-14 16:22:30.393173,Product_73,596
User_662,2023-11-01 16:22:30.393173,Product_22,561
User_488,2023-12-02 16:22:30.393173,Product_68,673
User_709,2023-08-18 16:22:30.393173,Product_72,77
User_188,2023-10-09 16:22:30.393173,Product_19,541
User_855,2023-08-27 16:22:30.393173,Product_1,259
User_368,2023-11-29 16:22:30.393173,Product_88,374
User_899,2023-11-17 16:22:30.394185,Product_41,460
User_359,2024-01-26 16:22:30.394185,Product_19,899
User_914,2023-04-23 16:22:30.394185,Product_70,303
User_549,2023-10-27 16:22:30.394185,Product_99,344
User_720,2023-06-06 16:22:30.394185,Product_81,32
User_213,2023-12-13 16:22:30.394185,Product_94,932
User_668,2024-01-14 16:22:30.394185,Product_24,726
User_739,2023-07-17 16:22:30.394185,Product_23,346
User_996,2023-10-13 16:22:30.394185,Product_95,454
User_595,2023-08-15 16:22:30.394185,Product_49,493
User_50,2023-12-24 16:22:30.394185,Product_8,853
User_645,2023-09-17 16:22:30.394185,Product_83,866
User_515,2024-02-05 16:22:30.394185,Product_29,573
User_36,2023-05-11 16:22:30.395181,Product_27,188
User_989,2023-08-06 16:22:30.395181,Product_75,923
User_7,2023-09-29 16:22:30.395181,Product_59,789
User_592,2023-05-18 16:22:30.395181,Product_6,105
User_961,2023-08-13 16:22:30.395181,Product_95,916
User_420,2023-06-05 16:22:30.395181,Product_45,688
User_483,2024-01-02 16:22:30.395181,Product_52,690
User_91,2024-01-16 16:22:30.395181,Product_4,532
User_767,2023-08-25 16:22:30.395181,Product_47,106
User_26,2023-10-01 16:22:30.395181,Product_81,806
User_303,2023-06-16 16:22:30.395181,Product_41,217
User_500,2023-05-13 16:22:30.395181,Product_13,761
User_669,2023-05-13 16:22:30.396179,Product_54,654
User_21,2023-06-09 16:22:30.396179,Product_60,177
User_56,2024-02-13 16:22:30.396179,Product_39,563
User_267,2024-02-13 16:22:30.396179,Product_27,951
User_772,2024-02-16 16:22:30.396179,Product_9,830
User_151,2023-12-12 16:22:30.396179,Product_65,565
User_56,2023-06-29 16:22:30.396179,Product_69,117
User_82,2023-05-16 16:22:30.396179,Product_78,292
User_164,2024-01-24 16:22:30.396179,Product_25,544
User_48,2023-05-25 16:22:30.396179,Product_98,221
User_877,2024-02-19 16:22:30.396179,Product_47,712
User_715,2023-04-01 16:22:30.396179,Product_94,756
User_765,2023-09-12 16:22:30.397150,Product_33,802
User_54,2023-10-04 16:22:30.397150,Product_22,134
User_870,2023-05-06 16:22:30.397150,Product_79,27
User_641,2023-12-04 16:22:30.397150,Product_50,799
User_868,2023-04-17 16:22:30.397150,Product_66,462
User_152,2023-09-15 16:22:30.397150,Product_15,530
User_439,2023-06-15 16:22:30.397150,Product_21,126
