User_ID,Timestamp,Action
User_255,2024-03-08 11:42:30.884730,Purchase
User_935,2024-03-08 08:58:30.884730,Add_to_Cart
User_857,2024-03-07 19:44:30.885726,Login
User_780,2024-03-08 08:11:30.885726,Purchase
User_895,2024-03-08 09:38:30.885726,Purchase
User_130,2024-03-08 12:47:30.885726,Browse
User_837,2024-03-08 03:02:30.885726,Login
User_366,2024-03-08 04:51:30.885726,Purchase
User_914,2024-03-07 20:40:30.885726,Login
User_624,2024-03-08 15:56:30.885726,Browse
User_386,2024-03-08 00:51:30.885726,Purchase
User_536,2024-03-08 03:08:30.886734,Browse
User_741,2024-03-07 20:36:30.886734,Add_to_Cart
User_47,2024-03-08 13:21:30.886734,Add_to_Cart
User_646,2024-03-08 05:23:30.886734,Purchase
User_562,2024-03-08 15:56:30.886734,Add_to_Cart
User_30,2024-03-08 15:45:30.886734,Add_to_Cart
User_762,2024-03-08 10:36:30.886734,Purchase
User_291,2024-03-08 08:01:30.886734,Browse
User_636,2024-03-08 09:49:30.886734,Login
User_938,2024-03-08 14:30:30.886734,Add_to_Cart
User_168,2024-03-08 07:09:30.887731,Login
User_311,2024-03-08 04:50:30.887731,Browse
User_181,2024-03-08 01:07:30.887731,Browse
User_240,2024-03-08 02:02:30.887731,Login
User_893,2024-03-08 06:42:30.887731,Login
User_801,2024-03-07 19:07:30.887731,Purchase
User_710,2024-03-08 10:28:30.887731,Login
User_82,2024-03-08 00:01:30.887731,Browse
User_657,2024-03-07 20:09:30.887731,Browse
User_848,2024-03-08 13:58:30.887731,Login
User_390,2024-03-08 04:26:30.888724,Login
User_825,2024-03-08 07:50:30.888724,Login
User_175,2024-03-08 16:13:30.888724,Purchase
User_633,2024-03-08 06:38:30.888724,Login
User_605,2024-03-08 09:08:30.888724,Login
User_490,2024-03-08 04:33:30.888724,Browse
User_209,2024-03-08 05:46:30.888724,Purchase
User_455,2024-03-07 21:10:30.888724,Browse
User_277,2024-03-07 23:22:30.888724,Login
User_356,2024-03-08 14:42:30.888724,Add_to_Cart
User_935,2024-03-08 01:30:30.889726,Browse
User_122,2024-03-08 05:25:30.889726,Login
User_142,2024-03-07 22:37:30.889726,Purchase
User_882,2024-03-08 12:09:30.889726,Browse
